SID,entry,timepoint,evaluation,replacement
65cc19b4b3d48a22dfc6756d,helicopter,7.5,FOUND,helicopter
65cc19b4b3d48a22dfc6756d,rocket ship,83.4,FOUND,rocket ship
65cc19b4b3d48a22dfc6756d,spaceship,4.89999999999999,FOUND,spaceship
65cb63e160bb47fbf9349269,car,0.0,FOUND,car
65cb63e160bb47fbf9349269,bus,0.0,FOUND,bus
65cb63e160bb47fbf9349269,train,0.0,FOUND,train
65cb63e160bb47fbf9349269,taxi,2.2,FOUND,taxi
65cb63e160bb47fbf9349269,ride sharing,0.0,FOUND,ride sharing
65cb63e160bb47fbf9349269,light rail,1.3,FOUND,light rail
65cb63e160bb47fbf9349269,monorail,3.5,FOUND,monorail
65cb63e160bb47fbf9349269,plane,0.0,FOUND,plane
65cb63e160bb47fbf9349269,helicopter,0.0,FOUND,helicopter
65cb63e160bb47fbf9349269,boat,2.0,FOUND,boat
65cb63e160bb47fbf9349269,cruise,1.7,FOUND,cruise
65cb63e160bb47fbf9349269,sailboat,1.0,FOUND,sailboat
65cb63e160bb47fbf9349269,bicycle,3.3,FOUND,bicycle
65cb63e160bb47fbf9349269,bicycle,0.0,FOUND,bicycle
65cb63e160bb47fbf9349269,motorcycle,0.0,FOUND,motorcycle
65cb63e160bb47fbf9349269,paragliding,13.2,FOUND,paragliding
65cb63e160bb47fbf9349269,tram,6.9,FOUND,tram
65cb63e160bb47fbf9349269,skis,7.8,FOUND,skis
65cb63e160bb47fbf9349269,snowboard,0.0,FOUND,snowboard
65cb63e160bb47fbf9349269,scooter,8.30000000000001,FOUND,scooter
65cb63e160bb47fbf9349269,skateboard,0.899999999999991,FOUND,skateboard
65d6a09286a0c99e632a46dd,car,0.0,FOUND,car
65d6a09286a0c99e632a46dd,bike,1.2,FOUND,bike
65d6a09286a0c99e632a46dd,plane,1.6,FOUND,plane
65d6a09286a0c99e632a46dd,train,1.0,FOUND,train
65d6a09286a0c99e632a46dd,boss,0.0,FOUND,boss
65d6a09286a0c99e632a46dd,walk,1.8,FOUND,walk
65d6a09286a0c99e632a46dd,Scooter,1.7,REPLACE,scooter
65d6a09286a0c99e632a46dd,electric scooter,3.9,FOUND,electric scooter
65d6a09286a0c99e632a46dd,rollerblade,2.9,FOUND,rollerblade
65d6a09286a0c99e632a46dd,running,3.8,FOUND,running
65d6a09286a0c99e632a46dd,skateboard,21.5,FOUND,skateboard
65d6a09286a0c99e632a46dd,longboard,2.1,FOUND,longboard
65d6a09286a0c99e632a46dd,hoverboard,5.0,FOUND,hoverboard
65d6a09286a0c99e632a46dd,golf cart,24.7,FOUND,golf cart
65d6a09286a0c99e632a46dd,tractor,8.8,FOUND,tractor
65d6a09286a0c99e632a46dd,trailer,0.0,FOUND,trailer
60d731567049e5132e3cc4d4,walking,0.0,FOUND,walking
60d731567049e5132e3cc4d4,taking an Uber,0.0,REPLACE,taking an uber
60d731567049e5132e3cc4d4,driving,0.0,FOUND,driving
60d731567049e5132e3cc4d4,biking,1.5,FOUND,biking
60d731567049e5132e3cc4d4,train,1.3,FOUND,train
60d731567049e5132e3cc4d4,airplane,1.0,FOUND,airplane
60d731567049e5132e3cc4d4,skateboard,1.6,FOUND,skateboard
60d731567049e5132e3cc4d4,scooter,0.0,FOUND,scooter
60d731567049e5132e3cc4d4,hoverboard,2.4,FOUND,hoverboard
60d731567049e5132e3cc4d4,trolly,10.4,FOUND,trolly
60d731567049e5132e3cc4d4,Subway,1.3,REPLACE,subway
60d731567049e5132e3cc4d4,gondola,3.09999999999999,FOUND,gondola
60d731567049e5132e3cc4d4,chairlift,1.09999999999999,FOUND,chairlift
60d731567049e5132e3cc4d4,teabar,1.7,FOUND,teabar
60d731567049e5132e3cc4d4,helicopter,4.2,FOUND,helicopter
60d731567049e5132e3cc4d4,pedal cab,5.0,FOUND,pedal cab
60d731567049e5132e3cc4d4,sled,8.7,FOUND,sled
60d731567049e5132e3cc4d4,wagon,1.30000000000001,FOUND,wagon
60d731567049e5132e3cc4d4,skis,1.19999999999999,FOUND,skis
60d731567049e5132e3cc4d4,snowshoes,0.0,FOUND,snowshoes
60d731567049e5132e3cc4d4,conveyor belt,4.3,FOUND,conveyor belt
60d731567049e5132e3cc4d4,elevator,0.799999999999997,FOUND,elevator
60d731567049e5132e3cc4d4,escalator,0.0,FOUND,escalator
60d731567049e5132e3cc4d4,trampoline,8.89999999999999,FOUND,trampoline
60d731567049e5132e3cc4d4,merry go round,15.5,FOUND,merry go round
60d731567049e5132e3cc4d4,ferris wheel,1.69999999999999,FOUND,ferris wheel
60d731567049e5132e3cc4d4,zipline,5.69999999999999,FOUND,zipline
65e1f75ab3efd22e847cfbf0,car,0.0,FOUND,car
65e1f75ab3efd22e847cfbf0,bike,0.0,FOUND,bike
65e1f75ab3efd22e847cfbf0,plane,0.0,FOUND,plane
65e1f75ab3efd22e847cfbf0,boat,0.0,FOUND,boat
65e1f75ab3efd22e847cfbf0,train,0.0,FOUND,train
65e1f75ab3efd22e847cfbf0,scooter,0.0,FOUND,scooter
65e1f75ab3efd22e847cfbf0,motorcycle,0.0,FOUND,motorcycle
65e1f75ab3efd22e847cfbf0,bus,2.3,FOUND,bus
65e1f75ab3efd22e847cfbf0,van,0.0,FOUND,van
65e1f75ab3efd22e847cfbf0,truck,0.0,FOUND,truck
65e1f75ab3efd22e847cfbf0,SUV,0.0,EXCLUDE,EXCLUDE
65e1f75ab3efd22e847cfbf0,sedan,0.0,FOUND,sedan
65e1f75ab3efd22e847cfbf0,plane,28.8,FOUND,plane
65e1f75ab3efd22e847cfbf0,ship,1.09999999999999,FOUND,ship
65e1f75ab3efd22e847cfbf0,hot air balloon,59.2,FOUND,hot air balloon
65e1f75ab3efd22e847cfbf0,was not a,0.0,FOUND,was not a
5f5aa60bef062519ff711fe6,biking,0.0,FOUND,biking
5f5aa60bef062519ff711fe6,car,2.3,FOUND,car
5f5aa60bef062519ff711fe6,bus,2.3,FOUND,bus
5f5aa60bef062519ff711fe6,Subway,2.8,REPLACE,subway
5f5aa60bef062519ff711fe6,Metro,4.9,REPLACE,metro
5f5aa60bef062519ff711fe6,tram,3.4,FOUND,tram
5f5aa60bef062519ff711fe6,elevator,2.8,FOUND,elevator
5f5aa60bef062519ff711fe6,escalator,2.2,FOUND,escalator
5f5aa60bef062519ff711fe6,motorcycle,2.6,FOUND,motorcycle
5f5aa60bef062519ff711fe6,carriage,3.6,FOUND,carriage
5f5aa60bef062519ff711fe6,horse,2.6,FOUND,horse
5f5aa60bef062519ff711fe6,ship,8.6,FOUND,ship
5f5aa60bef062519ff711fe6,crane,3.3,FOUND,crane
5f5aa60bef062519ff711fe6,walking,21.1,FOUND,walking
5f5aa60bef062519ff711fe6,scooter,36.0,FOUND,scooter
5f5aa60bef062519ff711fe6,skateboard,0.0,FOUND,skateboard
63e802622f8052bd67d6c5f0,skateboard,0.0,FOUND,skateboard
63e802622f8052bd67d6c5f0,rollerblades,0.0,FOUND,rollerblades
63e802622f8052bd67d6c5f0,car,0.800000000000001,FOUND,car
63e802622f8052bd67d6c5f0,truck,0.0,FOUND,truck
63e802622f8052bd67d6c5f0,bus,0.0,FOUND,bus
63e802622f8052bd67d6c5f0,rain,1.2,FOUND,rain
63e802622f8052bd67d6c5f0,scooter,2.9,FOUND,scooter
63e802622f8052bd67d6c5f0,walking,1.6,FOUND,walking
63e802622f8052bd67d6c5f0,boating,5.0,FOUND,boating
63e802622f8052bd67d6c5f0,motorcycle,12.6,FOUND,motorcycle
63e802622f8052bd67d6c5f0,dirt bike,2.3,FOUND,dirt bike
63e802622f8052bd67d6c5f0,submarine,48.9,FOUND,submarine
